Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Rarely,892,Sales,19,3,Other,1,36,2,Male,97,3,3,Sales Representative,2,Married,1397,19797,1,Y,No,12,2,3,80,3,40,2,4,36,32,9,32
26,No,Non-Travel,1415,Research & Development,4,4,Medical,1,37,3,Female,69,3,4,Manager,4,Divorced,11286,2044,4,Y,No,18,4,2,80,1,36,2,3,39,39,0,39
56,No,Travel_Rarely,1146,Sales,13,5,Medical,1,38,3,Male,65,4,5,Sales Representative,4,Divorced,3659,20070,0,Y,Yes,20,4,3,80,2,13,3,4,13,12,1,12
35,No,Travel_Rarely,1048,Sales,15,1,Life Sciences,1,39,3,Female,50,3,1,Manager,3,Married,16885,7236,1,Y,Yes,18,3,1,80,3,1,2,2,3,3,0,2
21,No,Travel_Rarely,1262,Sales,9,4,Medical,1,40,2,Male,55,3,4,Manager,4,Single,13010,28745,8,Y,No,13,3,4,80,0,17,2,4,19,19,1,17
42,No,Travel_Rarely,1494,Research & Development,3,4,Technical Degree,1,41,3,Female,85,3,4,Research Director,1,Single,5542,8625,4,Y,No,15,4,1,80,2,25,1,4,27,26,1,24
31,No,Travel_Rarely,658,Research & Development,2,4,Life Sciences,1,42,3,Male,86,2,4,Manufacturing Director,3,Divorced,7024,29817,6,Y,No,24,2,1,80,0,17,2,1,13,9,10,9
26,No,Travel_Rarely,862,Sales,16,3,Life Sciences,1,43,4,Male,88,3,3,Sales Executive,2,Single,7997,21109,2,Y,No,18,3,3,80,1,36,0,4,33,29,0,29
43,Yes,Non-Travel,131,Research & Development,18,5,Technical Degree,1,44,4,Female,36,3,5,Research Director,2,Single,12598,27999,1,Y,Yes,20,3,4,80,0,14,3,3,12,9,1,7
19,No,Travel_Rarely,326,Sales,18,1,Medical,1,45,2,Male,71,4,1,Manager,3,Single,13825,10009,7,Y,No,23,3,4,80,1,40,1,4,30,26,0,25
37,No,Travel_Rarely,530,Research & Development,6,3,Life Sciences,1,46,2,Male,42,3,3,Research Scientist,2,Married,4160,6014,1,Y,Yes,19,1,2,80,0,40,2,3,32,28,13,28
45,No,Travel_Rarely,630,Research & Development,18,5,Marketing,1,47,3,Male,63,3,5,Laboratory Technician,3,Divorced,4401,7780,3,Y,No,17,3,2,80,0,40,2,3,38,38,9,38
24,No,Non-Travel,1153,Research & Development,11,4,Life Sciences,1,48,3,Male,82,3,4,Manufacturing Director,3,Single,6462,6595,2,Y,No,14,3,3,80,1,22,3,3,27,24,5,22
25,No,Travel_Frequently,227,Research & Development,7,1,Other,1,49,4,Male,75,3,1,Manufacturing Director,3,Married,8443,10265,1,Y,Yes,14,4,4,80,1,38,4,3,24,23,2,21
52,No,Travel_Rarely,914,Research & Development,23,3,Life Sciences,1,50,3,Male,86,3,3,Research Scientist,2,Married,5512,21402,0,Y,No,13,3,3,80,1,39,3,4,31,30,1,30
31,No,Travel_Frequently,600,Sales,23,3,Technical Degree,1,51,4,Male,90,4,3,Sales Executive,3,Divorced,8210,8292,1,Y,No,21,4,3,80,1,22,3,3,8,6,1,6
34,No,Travel_Frequently,1312,Research & Development,14,3,Medical,1,52,3,Male,85,3,3,Laboratory Technician,4,Single,4129,3560,2,Y,Yes,18,4,2,80,0,32,3,3,27,24,2,23
53,No,Non-Travel,755,Sales,29,3,Other,1,53,4,Female,58,4,3,Manager,3,Married,14066,27467,0,Y,No,16,3,2,80,3,27,0,4,30,30,6,29
57,No,Travel_Rarely,1497,Sales,18,4,Life Sciences,1,54,4,Male,43,2,4,Manager,3,Married,8224,13324,1,Y,No,20,2,3,80,1,18,1,4,16,14,1,13
21,No,Travel_Rarely,239,Research & Development,7,3,Marketing,1,55,4,Male,97,1,3,Laboratory Technician,3,Divorced,3518,28465,2,Y,No,16,3,2,80,0,26,1,4,22,20,2,19
19,No,Travel_Rarely,1095,Sales,10,4,Marketing,1,56,3,Male,42,4,4,Manager,3,Married,8726,27822,3,Y,No,20,4,2,80,1,23,1,4,12,11,4,11
23,No,Non-Travel,1462,Human Resources,8,4,Medical,1,57,4,Male,46,3,4,Human Resources,3,Single,5022,13994,0,Y,No,20,2,2,80,2,11,2,3,9,5,1,5
59,No,Non-Travel,842,Sales,24,3,Medical,1,58,2,Female,58,3,3,Manager,4,Married,7792,18856,3,Y,No,19,3,3,80,0,10,3,3,15,15,4,15
21,No,Travel_Frequently,315,Sales,14,3,Technical Degree,1,59,4,Male,31,3,3,Manager,4,Married,13241,23819,0,Y,No,21,2,1,80,0,19,1,3,5,2,2,1
46,No,Travel_Rarely,392,Human Resources,18,3,Human Resources,1,60,3,Male,91,2,3,Human Resources,3,Single,2257,4217,0,Y,No,13,1,3,80,2,11,5,4,10,8,0,8
35,No,Travel_Rarely,1045,Research & Development,5,3,Life Sciences,1,61,3,Female,49,3,3,Research Director,3,Divorced,11851,27276,0,Y,No,14,3,4,80,1,5,4,2,2,2,2,0
43,No,Travel_Rarely,472,Research & Development,14,4,Life Sciences,1,62,4,Female,85,4,4,Research Scientist,3,Single,4520,12271,3,Y,No,13,3,1,80,1,33,5,3,27,26,9,25
51,No,Travel_Rarely,631,Sales,22,3,Technical Degree,1,63,4,Male,81,2,3,Sales Executive,3,Married,10994,18436,0,Y,No,13,3,3,80,3,40,0,2,40,38,1,36
27,No,Travel_Rarely,793,Research & Development,25,4,Life Sciences,1,64,4,Female,54,4,4,Manufacturing Director,3,Married,7508,4987,0,Y,No,11,4,4,80,0,28,4,3,14,12,2,11
53,No,Travel_Rarely,650,Research & Development,22,3,Human Resources,1,65,2,Female,91,3,3,Research Director,3,Married,9385,10330,0,Y,No,24,2,3,80,1,9,4,3,12,11,0,11
31,No,Non-Travel,1421,Research & Development,26,3,Marketing,1,66,4,Male,46,3,3,Manufacturing Director,2,Married,9638,27973,6,Y,No,20,2,2,80,0,14,5,3,16,15,4,14
48,No,Travel_Rarely,875,Sales,22,1,Marketing,1,67,4,Female,68,2,1,Manager,3,Divorced,11472,20521,5,Y,Yes,16,4,1,80,0,10,3,2,6,5,7,3
32,No,Non-Travel,1118,Research & Development,10,1,Life Sciences,1,68,3,Female,39,3,1,Manufacturing Director,4,Married,8659,2827,0,Y,Yes,25,3,3,80,0,25,4,3,27,27,2,26
25,No,Travel_Frequently,520,Sales,26,3,Life Sciences,1,69,4,Male,88,2,3,Sales Representative,2,Married,3894,12275,1,Y,No,25,3,3,80,1,40,1,4,37,37,1,35
31,No,Travel_Rarely,462,Research & Development,15,3,Marketing,1,70,2,Male,54,1,3,Laboratory Technician,4,Divorced,3219,26548,6,Y,No,19,3,2,80,0,7,1,4,12,12,11,12
40,No,Travel_Rarely,1283,Research & Development,6,5,Other,1,71,2,Male,57,4,5,Research Director,2,Married,13585,17351,0,Y,No,15,4,4,80,1,15,1,2,16,12,5,10
57,No,Non-Travel,1200,Research & Development,9,4,Human Resources,1,72,3,Female,90,4,4,Manager,2,Single,5955,18315,0,Y,No,22,3,4,80,3,17,5,4,14,12,3,12
38,No,Travel_Frequently,1497,Research & Development,10,3,Life Sciences,1,73,1,Female,87,4,3,Laboratory Technician,3,Married,5183,29552,0,Y,No,22,3,2,80,2,34,1,4,35,35,2,33
33,No,Travel_Rarely,1021,Sales,23,3,Life Sciences,1,74,4,Female,73,2,3,Sales Executive,4,Divorced,3244,19632,7,Y,Yes,22,3,4,80,0,27,1,1,27,23,1,23
35,No,Travel_Rarely,668,Sales,17,3,Life Sciences,1,75,2,Male,52,4,3,Sales Executive,4,Single,9839,6835,3,Y,No,24,3,2,80,0,27,5,4,14,12,5,10
41,Yes,Travel_Rarely,819,Sales,1,3,Other,1,76,2,Female,46,3,3,Sales Representative,2,Married,1320,15197,1,Y,No,20,4,4,80,1,12,1,4,10,10,3,10
43,No,Travel_Rarely,828,Research & Development,14,3,Life Sciences,1,77,3,Male,67,4,3,Laboratory Technician,2,Divorced,5579,10377,0,Y,No,12,3,2,80,1,34,4,3,30,29,3,29
42,No,Travel_Rarely,1231,Research & Development,4,3,Life Sciences,1,78,3,Male,59,1,3,Research Director,3,Single,10482,5442,7,Y,No,20,3,4,80,3,8,4,1,3,0,0,0
58,No,Travel_Frequently,468,Sales,28,3,Life Sciences,1,79,2,Male,48,3,3,Sales Representative,2,Married,2149,9402,1,Y,No,14,3,2,80,3,40,0,3,34,34,3,32
46,No,Travel_Rarely,503,Sales,2,2,Medical,1,80,1,Female,61,4,2,Sales Executive,3,Married,10916,5193,2,Y,Yes,22,3,3,80,1,40,0,4,33,30,7,28
32,No,Travel_Rarely,204,Research & Development,3,1,Human Resources,1,81,3,Male,49,3,1,Laboratory Technician,3,Married,2356,6928,1,Y,Yes,16,3,2,80,0,24,3,3,26,26,10,26
18,No,Non-Travel,888,Research & Development,28,2,Medical,1,82,4,Female,93,4,2,Laboratory Technician,3,Single,3261,11604,3,Y,No,24,3,4,80,3,14,6,4,9,8,0,7
42,No,Travel_Rarely,426,Research & Development,7,4,Life Sciences,1,83,4,Male,65,3,4,Research Director,2,Single,17814,17261,0,Y,No,17,1,1,80,2,35,4,3,29,26,4,26
24,No,Non-Travel,474,Sales,23,3,Medical,1,84,1,Male,94,3,3,Sales Representative,2,Married,3355,29764,4,Y,No,22,3,2,80,1,18,2,3,19,15,3,14
26,No,Travel_Rarely,439,Research & Development,14,3,Medical,1,85,3,Male,72,4,3,Manager,3,Divorced,4706,15777,1,Y,No,23,3,2,80,1,32,2,3,28,27,8,27
41,Yes,Travel_Rarely,992,Research & Development,12,4,Life Sciences,1,86,2,Male,55,4,4,Research Scientist,1,Divorced,4131,9596,0,Y,No,23,2,1,80,1,29,2,3,28,25,6,23
18,Yes,Travel_Rarely,1158,Research & Development,19,5,Life Sciences,1,87,3,Female,36,4,5,Research Scientist,3,Married,4011,21300,2,Y,Yes,17,3,4,80,3,25,3,4,22,19,11,18
25,No,Travel_Rarely,1233,Sales,29,5,Technical Degree,1,88,4,Male,63,3,5,Manager,4,Single,12678,27591,4,Y,Yes,24,4,4,80,0,23,2,4,20,19,11,17
41,No,Non-Travel,1394,Research & Development,18,4,Life Sciences,1,89,3,Female,65,2,4,Laboratory Technician,1,Married,3453,6537,1,Y,No,14,3,4,80,2,13,1,3,9,8,1,7
28,No,Non-Travel,1198,Research & Development,15,1,Life Sciences,1,90,3,Male,35,3,1,Manager,1,Single,13965,25435,0,Y,No,20,3,4,80,0,40,3,3,40,39,5,38
34,No,Travel_Frequently,1306,Research & Development,29,4,Medical,1,91,2,Female,66,3,4,Laboratory Technician,1,Divorced,1895,15932,2,Y,No,20,3,1,80,3,7,2,4,11,9,3,8
25,No,Travel_Rarely,1277,Research & Development,29,4,Technical Degree,1,92,4,Male,91,4,4,Manager,4,Divorced,10027,7645,3,Y,Yes,15,3,2,80,1,27,1,4,29,25,1,24
52,No,Travel_Frequently,1193,Research & Development,1,1,Marketing,1,93,3,Female,89,3,1,Manager,1,Married,13122,6261,3,Y,Yes,23,3,3,80,0,34,4,4,32,32,1,30
52,No,Travel_Rarely,1497,Sales,25,3,Marketing,1,94,3,Female,93,3,3,Sales Executive,4,Divorced,5399,3935,1,Y,No,14,2,4,80,0,25,3,3,17,14,0,13
50,No,Travel_Rarely,1473,Sales,26,5,Medical,1,95,3,Male,79,4,5,Sales Representative,3,Single,3986,26425,0,Y,No,22,3,4,80,1,24,2,4,13,13,6,13
22,No,Travel_Rarely,1098,Sales,3,3,Marketing,1,96,2,Male,81,3,3,Sales Representative,2,Married,2332,28044,2,Y,No,20,3,3,80,0,28,3,4,21,20,2,20
59,No,Travel_Rarely,133,Sales,25,1,Life Sciences,1,97,4,Female,46,4,1,Manager,1,Married,12515,6538,1,Y,No,16,3,2,80,1,32,3,2,20,16,7,15
56,No,Travel_Rarely,1028,Research & Development,15,1,Human Resources,1,98,1,Female,89,4,1,Research Director,3,Divorced,9685,6426,6,Y,No,21,2,2,80,0,12,3,3,0,0,4,0
58,No,Travel_Rarely,721,Sales,4,3,Life Sciences,1,99,4,Male,83,1,3,Sales Representative,3,Single,2086,3358,2,Y,No,24,2,3,80,0,21,4,3,14,12,5,10
45,No,Travel_Rarely,1204,Research & Development,15,2,Medical,1,100,3,Female,39,2,2,Manager,3,Married,12217,15423,2,Y,No,17,4,4,80,1,37,3,4,35,34,1,33
24,No,Travel_Rarely,1384,Sales,10,4,Technical Degree,1,101,2,Female,54,2,4,Sales Representative,2,Divorced,1819,3769,1,Y,No,12,4,1,80,1,27,3,1,21,18,3,16
26,No,Travel_Rarely,979,Human Resources,6,4,Medical,1,102,2,Female,47,4,4,Human Resources,3,Single,4768,29337,1,Y,No,24,3,4,80,1,26,3,3,31,29,2,27
25,No,Travel_Frequently,276,Research & Development,13,3,Human Resources,1,103,4,Female,93,2,3,Manufacturing Director,2,Married,8072,29458,2,Y,No,20,3,4,80,1,40,3,3,32,31,1,29
29,No,Travel_Rarely,1492,Research & Development,7,5,Medical,1,104,3,Female,88,4,5,Research Scientist,3,Married,2573,27765,1,Y,No,22,3,4,80,1,40,1,2,40,38,7,37
51,No,Travel_Rarely,116,Research & Development,26,3,Other,1,105,2,Male,56,3,3,Manager,3,Married,14244,15725,5,Y,No,13,2,4,80,1,35,2,3,38,38,4,38
50,No,Travel_Frequently,1176,Research & Development,22,2,Other,1,106,1,Male,87,4,2,Manufacturing Director,3,Single,8624,19576,1,Y,Yes,21,3,1,80,0,28,3,4,22,21,0,21
40,Yes,Travel_Rarely,208,Research & Development,1,4,Human Resources,1,107,4,Male,90,4,4,Research Director,2,Single,11596,4816,1,Y,No,18,3,4,80,0,14,2,3,1,0,7,0
41,Yes,Travel_Rarely,570,Sales,22,4,Human Resources,1,108,4,Female,72,4,4,Manager,3,Single,12008,8267,0,Y,Yes,17,3,3,80,0,8,2,3,1,0,0,0
54,No,Travel_Frequently,303,Human Resources,11,4,Other,1,109,4,Female,40,3,4,Human Resources,3,Divorced,3601,25409,3,Y,Yes,22,3,4,80,2,40,4,3,37,36,2,36
52,No,Travel_Rarely,1343,Research & Development,14,5,Technical Degree,1,110,3,Male,34,3,5,Manager,1,Married,11999,6856,0,Y,Yes,11,4,2,80,1,37,0,3,28,26,4,24
57,No,Travel_Frequently,1166,Research & Development,6,4,Medical,1,111,3,Female,87,1,4,Manufacturing Director,3,Single,9495,23601,1,Y,Yes,14,3,3,80,1,16,3,3,2,0,0,0
39,No,Travel_Rarely,1018,Research & Development,5,5,Life Sciences,1,112,2,Female,68,3,5,Manager,2,Married,7714,17419,2,Y,No,15,4,1,80,2,34,2,2,38,37,4,35
44,Yes,Travel_Rarely,437,Sales,19,3,Marketing,1,113,2,Male,77,3,3,Sales Representative,1,Married,2000,19426,1,Y,No,24,4,1,80,0,19,2,3,6,3,4,2
52,No,Travel_Rarely,206,Research & Development,26,4,Human Resources,1,114,4,Male,49,4,4,Manufacturing Director,4,Single,7409,23627,3,Y,No,13,4,4,80,1,32,2,4,35,35,4,33
18,No,Travel_Rarely,304,Research & Development,19,5,Technical Degree,1,115,4,Male,48,4,5,Laboratory Technician,2,Married,3110,10417,3,Y,No,25,3,4,80,0,36,1,3,28,25,1,25
52,No,Travel_Rarely,1220,Research & Development,27,4,Human Resources,1,116,4,Male,89,2,4,Laboratory Technician,3,Married,3483,12170,7,Y,No,14,3,3,80,2,37,2,4,36,32,1,30
54,Yes,Travel_Rarely,1302,Research & Development,26,2,Technical Degree,1,117,3,Male,55,4,2,Manufacturing Director,4,Married,7299,8755,2,Y,No,20,3,3,80,2,37,2,3,35,32,1,32
31,No,Travel_Rarely,166,Research & Development,13,3,Life Sciences,1,118,4,Male,54,2,3,Research Scientist,2,Married,4715,24851,2,Y,No,20,3,4,80,2,27,2,1,22,18,11,16
20,No,Travel_Frequently,654,Sales,7,4,Life Sciences,1,119,4,Male,44,2,4,Manager,4,Single,16398,5977,1,Y,No,24,3,3,80,3,29,3,4,15,14,0,14
18,No,Travel_Frequently,325,Research & Development,8,3,Medical,1,120,3,Male,50,4,3,Research Scientist,2,Married,5226,14023,1,Y,No,20,4,4,80,2,30,2,2,30,27,2,25
22,No,Travel_Frequently,481,Sales,14,5,Life Sciences,1,121,2,Male,76,4,5,Sales Executive,3,Married,7117,29220,0,Y,Yes,17,4,3,80,2,38,4,4,33,31,8,31
43,Yes,Travel_Rarely,356,Research & Development,19,3,Marketing,1,122,3,Male,64,2,3,Manager,3,Married,8015,3883,3,Y,No,18,3,3,80,0,11,3,3,0,0,6,0
31,No,Travel_Rarely,1423,Sales,19,3,Human Resources,1,123,2,Female,73,4,3,Manager,4,Married,9400,2540,1,Y,No,22,3,4,80,0,21,1,3,17,14,7,13
56,No,Travel_Rarely,272,Sales,23,5,Technical Degree,1,124,4,Male,35,4,5,Sales Representative,3,Married,3757,10837,2,Y,No,19,4,3,80,3,40,2,2,39,36,12,34
44,No,Travel_Rarely,714,Research & Development,26,3,Medical,1,125,3,Female,52,2,3,Manager,3,Divorced,10313,23469,1,Y,No,25,1,3,80,3,10,1,4,14,14,2,14
26,No,Non-Travel,753,Research & Development,12,2,Life Sciences,1,126,3,Female,68,3,2,Research Director,3,Married,7096,23185,2,Y,Yes,23,2,4,80,1,16,5,4,16,13,2,11
32,No,Travel_Rarely,819,Research & Development,23,4,Life Sciences,1,127,3,Male,47,4,4,Laboratory Technician,2,Married,5702,6726,1,Y,Yes,12,4,4,80,1,8,4,2,9,9,0,9
32,No,Non-Travel,933,Sales,27,4,Medical,1,128,3,Male,69,4,4,Sales Representative,3,Divorced,4372,25406,2,Y,No,14,3,4,80,3,17,1,3,19,19,1,18
43,Yes,Travel_Frequently,1489,Research & Development,9,2,Medical,1,129,2,Male,65,3,2,Laboratory Technician,2,Married,3369,18286,6,Y,No,11,3,3,80,0,1,3,1,5,5,3,4
59,No,Travel_Frequently,920,Human Resources,14,5,Life Sciences,1,130,4,Male,57,2,5,Human Resources,3,Single,3713,20072,3,Y,Yes,13,4,3,80,0,13,5,4,7,7,1,6
30,Yes,Travel_Rarely,174,Research & Development,6,3,Medical,1,131,2,Female,93,4,3,Manager,3,Single,14604,11046,1,Y,Yes,18,3,2,80,1,30,3,3,33,32,5,31
49,No,Travel_Frequently,1185,Sales,15,4,Life Sciences,1,132,4,Male,87,4,4,Sales Executive,4,Single,5970,8634,2,Y,No,17,3,1,80,0,31,2,3,31,29,0,29
56,No,Non-Travel,556,Sales,13,3,Other,1,133,4,Male,67,3,3,Manager,3,Divorced,15198,2404,2,Y,No,25,3,4,80,1,11,2,1,3,3,1,1
49,No,Travel_Frequently,437,Sales,7,4,Life Sciences,1,134,2,Male,73,2,4,Sales Representative,4,Married,2559,21727,4,Y,No,25,2,2,80,2,40,2,4,38,36,5,35
21,No,Travel_Rarely,769,Research & Development,11,3,Life Sciences,1,135,4,Male,31,4,3,Laboratory Technician,2,Divorced,5227,9811,4,Y,Yes,18,3,3,80,0,27,3,3,19,19,1,18
47,No,Travel_Rarely,1249,Research & Development,10,3,Life Sciences,1,136,3,Female,64,4,3,Laboratory Technician,2,Married,2955,9018,1,Y,Yes,25,4,4,80,3,20,4,4,23,21,5,20
54,No,Travel_Rarely,115,Sales,1,3,Medical,1,137,3,Male,30,4,3,Sales Executive,3,Married,11965,29053,4,Y,No,21,2,4,80,3,33,3,4,23,20,14,18
40,No,Non-Travel,128,Research & Development,7,4,Marketing,1,138,3,Male,75,4,4,Research Director,3,Single,10585,27095,0,Y,No,16,2,1,80,2,34,1,2,25,22,6,22
56,No,Non-Travel,1175,Research & Development,18,1,Technical Degree,1,139,3,Male,89,4,1,Research Director,3,Married,14152,13132,3,Y,Yes,15,3,3,80,3,25,5,3,24,22,2,22
32,No,Travel_Rarely,288,Research & Development,23,4,Medical,1,140,2,Female,92,4,4,Manager,4,Married,10055,3407,1,Y,No,22,2,4,80,1,40,4,3,35,35,9,35
60,No,Travel_Frequently,1182,Research & Development,3,4,Marketing,1,141,4,Male,74,4,4,Manager,2,Divorced,7279,11012,1,Y,No,22,4,3,80,1,13,1,3,6,5,0,5
46,No,Non-Travel,872,Research & Development,9,2,Medical,1,142,3,Male,86,4,2,Research Scientist,3,Single,1386,9030,5,Y,No,20,2,4,80,2,9,1,2,9,7,5,5
